term,vocabulary_id,hateful_meaning,is_unambiguous,is_unambiguous_in,average_offensiveness,plural_of,variant_of,is_about_nationality,is_about_ethnicity,is_about_religion,is_about_gender,is_about_sexual_orientation,is_about_disability,is_about_class,number_of_sightings
jigroes,PMsHf9jPk,,False,,93.0,jigro,,False,True,False,False,False,False,False,0
jigro,bj7yGobXq,Combination of 'jig' and 'negro',False,,93.0,,,False,True,False,False,False,False,False,5
hoodrats,sLjT9hfdy,,False,,82.0,hoodrat,,False,True,False,True,False,False,True,411
hoodrat,9FyKVJLNX,"A person who lives in a 'hood (neighborhood), particularly a poor woman who can be coerced into sex",False,,82.0,,,False,True,False,True,False,False,True,739
golliwog,yXQWue2zY,"A person with dark skin, most commonly an Afro-Caribbean",False,,99.0,,,False,True,False,False,False,False,False,121
pisslam,oBAmPQUNi,Derogatory portmanteau of 'piss' and 'islam',True,,100.0,,,False,False,True,False,False,False,False,384
Ahab,H2WQT7GYr,An Arab,False,,72.0,,,False,True,False,False,False,False,False,0
dinks,REKkufoBs,[1] An Asian. [2] A Vietnamese person. [3] A North Vietnamese soldier or guerrilla in the Vietnam War.,False,,,dink,,True,True,False,False,False,False,False,88
dink,CmrMt2nzy,[1] An Asian. [2] A Vietnamese person. [3] A North Vietnamese soldier or guerrilla in the Vietnam War.,False,,98.0,,,True,True,False,False,False,False,False,82
bans and cans,cbaWbwk8A,"Mexicans, Puerto Ricans and Cubans.",False,,51.0,,,True,True,False,False,False,False,False,1
muslimic,iXGAxgnhd,Dismissive or incorrect term for Islamic practices,False,,,,,False,True,True,False,False,False,False,0
gender nigger,XpNDiLAz2,A transgender person,True,,99.0,,,False,False,False,True,False,False,False,2
dot head,7aYkKn8kr,"A person of Indian descent, from the caste-mark (dot) on an Indian's forehead.",False,,76.0,,,True,True,False,False,False,False,False,6
dogan,CAp6QtVpd,"In Canada, an Irish Catholic [19th century on; origin uncertain: perhaps from Dugan, an Irish surname].",False,CA,95.0,,,True,False,True,False,False,False,False,2
cripples,AHMN4aF7R,A disabled person.,False,,75.0,cripple,,False,False,False,False,False,True,False,332
chinks,D8oLjb2Ey,"A person of Chinese descent. Considered extremely derogatory, exemplified by a US school that had to stop using the term as a sports mascot in 1980.",False,,100.0,chink,,True,False,False,False,False,False,False,190
boojie,uUgxzw3te,An American Indian,False,,65.0,,,False,True,False,False,False,False,True,0
black dago,Q2cAUGjUq,[1] A Sicilian [2] A darker-skinned Italian [3] An Italian of allegedly African ancestry,True,,76.0,,,True,True,False,False,False,False,False,1
bitches,EJiAQAPo2,A human female,False,,,bitch,,False,False,False,True,False,False,False,520
bitch,GmTur37KQ,A human female,False,,26.0,,,False,False,False,True,False,False,False,508
jit,742NbzFMT,"A black person, particularly a young black person.",False,,50.0,,,False,True,False,False,False,False,False,1
toad,UVWMgLXLw,A black person,False,,73.0,,,False,True,False,False,False,False,False,0
khazar,vF4c6PAVb,Perpetuates false claim that Ashkenazi Jews are the result of a mass conversion in Khazaria to undermine Jewish national claims to Israel,False,,87.0,,,True,True,True,False,False,False,False,1089
Zionazi,6FZyrdUXX,"Contraction of Zionist and Nazi, making a false comparison between Jews who support Israel's right to exist and Nazis.",True,,86.0,,,True,True,True,False,False,False,False,2752
kike,QG9v7Cvqh,"An Ashkenazi Jew (though typically generalized to all Jews). From kikel, Yiddish for 'circle'. Illiterate immigrant Jews signed legal documents with an 'O' (similar to an 'X').",False,,98.0,,,False,True,True,False,False,False,False,167
sand niglet,HpgGojWdy,A child of Middle Eastern descent,True,,99.0,,,False,True,False,False,False,False,False,0
sand niglets,DLFeCwJMW,A child of Middle Eastern descent,True,,,sand niglet,,False,True,False,False,False,False,False,0
Zionazis,sEMTfxuxh,A Jew living in Israel,True,,,Zionazi,,True,False,True,False,False,False,False,309
zipperheads,zuCuemGaE,"An Asian person. Used by American military personnel during the Korean War and Vietnam War. Also seen in the films Platoon, Apocalypse Now, Full Metal Jacket and Gran Torino. The phrase 'zips in the wire' from Platoon has also been used outside of this context.",False,,,zipperhead,,False,True,False,False,False,False,False,59
zippoheads,wcqnkmq4p,"An Asian person. Used by American military personnel during the Korean War and Vietnam War. Also seen in the films Platoon, Apocalypse Now, Full Metal Jacket and Gran Torino. The phrase 'zips in the wire' from Platoon has also been used outside of this context.",False,,,zippohead,,False,True,False,False,False,False,False,0
zips,eoqmfHkNC,"An Asian person. Used by American military personnel during the Korean War and Vietnam War. Also seen in the films Platoon, Apocalypse Now, Full Metal Jacket and Gran Torino. The phrase 'zips in the wire' from Platoon has also been used outside of this context.",False,,,zip,,False,True,False,False,False,False,False,0
ZOG lovers,gitNpNAas,Used by white supremacists to denote one who is subservient to Jewish people.,True,,,ZOG lover,,False,True,False,False,False,False,False,1
zebras,wrUHJXwvn,A person of mixed Caucasian and black parentage.,False,,50.0,zebra,,False,True,False,False,False,False,False,0
zigabos,QYqdHchmG,"A black person. Jiggaboo or jigabo is from a Bantu verb tshikabo, meaning meek or servile.",True,,50.0,zigabo,,False,True,False,False,False,False,False,1
ziojews,UsbtrtiyQ,Derogatory term for a Jewish zionist or those being accused of such,True,,,ziojew,,False,True,True,False,False,False,False,13
yellow invaders,QoVZRw zv,Accusative term for refugees or immigrants from Asia,True,,,yellow invader,,False,True,False,False,False,False,False,0
yellows,WPRqUZoAA,A person of Asian descent.,False,,88.0,yellow,,False,True,False,False,False,False,False,0
yids,EZQUVuQzZ,"A Jewish person, although it is an endonym among Yiddish-speaking Jews. (The term is also used positively in Britain for Tottenham Hotspur fans (often proudly by themselves, for example calling themselves 'the Yid Army'), which includes a large Jewish supporting base from north-east London.)",True,,,yid,,False,True,False,False,False,False,False,740
yobbos,x4viobdHm,"In the UK, Australia or New Zealand, an unsophisticated, antisocial, drunken and/or lower class person",False,,,yobbo,,False,False,False,False,False,False,True,300
yobs,xDBXGFEwM,"In the UK, Australia or New Zealand, an unsophisticated, antisocial, drunken and/or lower class person",False,,,yob,,False,False,False,False,False,False,True,191
Yanks,smzY4YaAD,A term for Northerners used by Southerners within the United states or by non-Americans for Americans. From the Dutch Jan Kees ('John Cheese') meaning Englishman.,False,,,Yank,,True,False,False,False,False,False,False,0
yard apes,jUUBYKUKJ,A black person,True,,,yard ape,,False,True,False,False,False,False,False,19
yardies,vojYrfuhn,"[1] A person from Jamaica, sometimes derogatory, referring to gang membership or low economic status. [2] In the UK, can be used broadly to denote a black person with gang association and/or engaging in criminal behavior.",False,,,yardie,,True,True,False,False,False,False,True,0
yellow bones,fTGQYFHUq,[1] A black female with light skin. [2] A black female of mixed heritage.,False,,,yellow bone,,False,True,False,False,False,False,False,182
wogs,gmronnNyG,"A swarthy or dark-skinned foreigner. Possibly derived from 'golliwogg' In Britain, it usually refers to dark skinned people from Asia or Africa, though some use the term to refer to anyone outside the borders of their own country. In Australia the term 'wog' is usually used to refer to Mediterranean Europeans (Spaniards, Italians, and Greeks) although it can be used for some Eastern Europeans, particularly those of the Balkans (Bosnians, Macedonians, Serbians, Croatians, or Albanians).",True,,,wog,,True,True,False,False,False,False,False,950
wops,HPytDzfra,"A person of Italian descent, derived from the Italian dialectism, 'guappo,' close to 'dude, swaggerer' and other informal appellations, a greeting among male Neapolitans.",True,,63.0,wop,,True,False,False,False,False,False,False,683
wopspeak,tafapiusm,The Italian language,True,,96.0,,wop,False,True,False,False,False,False,False,0
Yankees,LWUehyTeB,A term for Northerners used by Southerners within the United states or by non-Americans for Americans. From the Dutch Jan Kees ('John Cheese') meaning Englishman.,False,,,Yankee,,True,False,False,False,False,False,False,0
wiggas,Zmm2kVbjE,"[1] Used in 19th-century United States to refer to the Irish. [2] Sometimes used today in reference to white people in a manner similar to white trash or redneck. [3] Also refers to white youth that imitate urban black youth by means of clothing style, mannerisms, and slang speech. The 'w' at the start of wigger refers to the white person and the 'igger' refers to nigger, which is a racial slur for black people. [4] Also used by radical Quebecois in self-reference, as in the seminal 1968 book White Niggers of America.",True,,,wigga,,True,True,False,False,False,False,False,1338
wiggerettes,KokCnGPcV,"[1] Used in 19th-century United States to refer to the Irish. [2] Sometimes used today in reference to white people in a manner similar to white trash or redneck. [3] Also refers to white youth that imitate urban black youth by means of clothing style, mannerisms, and slang speech. The 'w' at the start of wigger refers to the white person and the 'igger' refers to nigger, which is a racial slur for black people. [4] Also used by radical Quebecois in self-reference, as in the seminal 1968 book White Niggers of America.",True,,,wiggerette,,True,True,False,False,False,False,False,1
wiggers,oxfgmefpr,"[1] Used in 19th-century United States to refer to the Irish. [2] Sometimes used today in reference to white people in a manner similar to white trash or redneck. [3] Also refers to white youth that imitate urban black youth by means of clothing style, mannerisms, and slang speech. The 'w' at the start of wigger refers to the white person and the 'igger' refers to nigger, which is a racial slur for black people. [4] Also used by radical Quebecois in self-reference, as in the seminal 1968 book White Niggers of America.",True,,,wigger,,True,True,False,False,False,False,False,142
winks,kgKxXeTfZ,"A Caucasian who emulates, or associates with, Chinese people.",False,,,wink,,False,True,False,False,False,False,False,0
whiggers,Lq7fbfLtc,"[1] Used in 19th-century United States to refer to the Irish. [2] Sometimes used today in reference to white people in a manner similar to white trash or redneck. [3] Also refers to white youth that imitate urban black youth by means of clothing style, mannerisms, and slang speech. The 'w' at the start of wigger refers to the white person and the 'igger' refers to nigger, which is a racial slur for black people. [4] Also used by radical Quebecois in self-reference, as in the seminal 1968 book White Niggers of America.",True,,,whigger,,True,True,False,False,False,False,False,147
white niggers, jUV4KZZt,"[1] Used in 19th-century United States to refer to the Irish. [2] Sometimes used today in reference to white people in a manner similar to white trash or redneck. [3] Also refers to white youth that imitate urban black youth by means of clothing style, mannerisms, and slang speech. The 'w' at the start of wigger refers to the white person and the 'igger' refers to nigger, which is a racial slur for black people. [4] Also used by radical Quebecois in self-reference, as in the seminal 1968 book White Niggers of America.",True,,,white nigger,,True,True,False,False,False,False,False,19
whities,jnoQfbmtt,A Caucasian.,False,,75.0,whitey,,False,True,False,False,False,False,False,0
WICs,xZuno8swv,Acronym for White Irish Catholic.,False,,,WIC,,False,True,True,False,False,False,False,0
wegroes,YhHYLhAMB,A white person who is acting like a black person,True,,,wegro,,False,True,False,False,False,False,False,5
wetbacks,DVoCcFbTq,"A person of Latino descent, particularly a Mexican migrant laborer.",True,,,wetback,,False,True,False,False,False,False,False,914
wexicans,b2EWATroi,A person of mixed Caucasian and Mexican parentage.,True,,,wexican,,True,True,False,False,False,False,False,26
whiggas,ypaTZ2vrR,A white person who is acting like a black person,True,,63.0,whigga,,False,True,False,False,False,False,False,126
WASPs,zRaERskxB,"Acronym for White Anglo-Saxton Protestant, and often synonymous with rectitude.",False,,25.0,WASP,,False,True,True,False,False,False,False,0
uncircumcised baboons,eJfRMANRk,A name to call the Luos ethnic group in Kenya,False,,,uncircumcised baboon,,False,True,False,False,False,False,False,1
Uncle Toms,xsRQpaGf2,A black person perceived as behaving in a subservient manner to white authority figures.,True,,100.0,Uncle Tom,,False,True,False,False,False,False,False,513
Velcro heads,ZCx7dvPTY,A black person (referencing stereotypical hair type).,True,,,Velcro head,,False,True,False,False,False,False,False,1
wagon burners,pcGcvDVdd,A Native American person.,True,,,wagon burner,,False,True,False,False,False,False,False,36
tynkers,6vym7Cqym,"[1] An inconsequential person (typically lower class). [2] A Gypsy. [3] In Scotland, a member of the native community previously itinerant (but mainly now settled) who were reputed for their production of domestic implements from basic materials and for repair of the same items, being also known in the past as 'travelling tinsmiths'. The slur is possibly derived from a reputation for rowdy and alcoholic recreation. Often wrongly confused with Gypsy/Romany people.",False,,,tynker,,False,True,False,False,False,False,False,0
Ubangees,YrmkPjykF,"A black person, particularly a black woman, from the Ubangi people of Africa",False,,,Ubangee,,False,True,False,False,False,False,False,0
Ubangis,TxcyMB6Ct,"A black person, particularly a black woman, from the Ubangi people of Africa",False,,,Ubangi,,False,True,False,False,False,False,False,5
tyncars,AcbVMPsHB,"[1] An inconsequential person (typically lower class). [2] A Gypsy. [3] In Scotland, a member of the native community previously itinerant (but mainly now settled) who were reputed for their production of domestic implements from basic materials and for repair of the same items, being also known in the past as 'travelling tinsmiths'. The slur is possibly derived from a reputation for rowdy and alcoholic recreation. Often wrongly confused with Gypsy/Romany people.",False,,,tyncar,,False,True,False,False,False,False,False,0
tynekeres,BgArqqEGs,"[1] An inconsequential person (typically lower class). [2] A Gypsy. [3] In Scotland, a member of the native community previously itinerant (but mainly now settled) who were reputed for their production of domestic implements from basic materials and for repair of the same items, being also known in the past as 'travelling tinsmiths'. The slur is possibly derived from a reputation for rowdy and alcoholic recreation. Often wrongly confused with Gypsy/Romany people.",False,,,tynekere,,False,True,False,False,False,False,False,0
tynkards,MNTzAWQJJ,"[1] An inconsequential person (typically lower class). [2] A Gypsy. [3] In Scotland, a member of the native community previously itinerant (but mainly now settled) who were reputed for their production of domestic implements from basic materials and for repair of the same items, being also known in the past as 'travelling tinsmiths'. The slur is possibly derived from a reputation for rowdy and alcoholic recreation. Often wrongly confused with Gypsy/Romany people.",False,,,tynkard,,False,True,False,False,False,False,False,0
tynkares,WWaAZNLqi,"[1] An inconsequential person (typically lower class). [2] A Gypsy. [3] In Scotland, a member of the native community previously itinerant (but mainly now settled) who were reputed for their production of domestic implements from basic materials and for repair of the same items, being also known in the past as 'travelling tinsmiths'. The slur is possibly derived from a reputation for rowdy and alcoholic recreation. Often wrongly confused with Gypsy/Romany people.",False,,,tynkare,,False,True,False,False,False,False,False,0
tynkeres,VFaKdEPFe,"[1] An inconsequential person (typically lower class). [2] A Gypsy. [3] In Scotland, a member of the native community previously itinerant (but mainly now settled) who were reputed for their production of domestic implements from basic materials and for repair of the same items, being also known in the past as 'travelling tinsmiths'. The slur is possibly derived from a reputation for rowdy and alcoholic recreation. Often wrongly confused with Gypsy/Romany people.",False,,,tynkere,,False,True,False,False,False,False,False,0
tree niggers,xMvg2UkAs,A Native American person,True,,100.0,tree nigger,,False,True,False,False,False,False,False,8
tunnel diggers,jtRpFtB86,"A Vietnamese person, from the tunnels dug by the Viet Cong to elude pursuit during the Vietnam war.",False,,,tunnel digger,,True,True,False,False,False,False,False,0
twats,JvTUWKoCQ,"An idiot or offensive person, generally male, who is being compared to female genitalia",False,,25.0,twat,,False,False,False,True,False,False,False,98
Twinkies,kebKGExdt,"[1] A European American, with little or no social or blood links to any tribe, who claims to be an American Indian (Native American). [2] An Asian American who has become completely integrated into White American, or mainstream American culture.",False,,,Twinkie,,False,True,False,False,False,False,False,0
towel heads,GuYiHDLgo,"An Arab, Indian Sikh or other individual of Middle Eastern or South Asian descent wearing traditional headdress such as turbans or keffiyehs. Sometimes used generically for all Islamic nations.",True,,,towel head,,False,True,False,False,False,False,False,594
trannies,ZxmhaszCv,Plural of 'tranny',True,,75.0,tranny,,False,False,False,True,False,False,False,710
tree jumpers,a78cihvkq,"Used by poor rural people to denote those of lower status than themselves, particularly those who commit incest (jumping the family tree).",False,,42.0,tree jumper,,False,False,False,False,False,False,True,22
tinkars,eTvLWJTPU,"[1] An inconsequential person (typically lower class). [2] A Gypsy. [3] In Scotland, a member of the native community previously itinerant (but mainly now settled) who were reputed for their production of domestic implements from basic materials and for repair of the same items, being also known in the past as 'travelling tinsmiths'. The slur is possibly derived from a reputation for rowdy and alcoholic recreation. Often wrongly confused with Gypsy/Romany people.",False,,25.0,tinkar,,False,True,False,False,False,False,False,0
tinkeres,GFRZbZAkx,"[1] An inconsequential person (typically lower class). [2] A Gypsy. [3] In Scotland, a member of the native community previously itinerant (but mainly now settled) who were reputed for their production of domestic implements from basic materials and for repair of the same items, being also known in the past as 'travelling tinsmiths'. The slur is possibly derived from a reputation for rowdy and alcoholic recreation. Often wrongly confused with Gypsy/Romany people.",False,,,tinkere,,False,True,False,False,False,False,False,0
tinkers,KGHQVnkGq,"[1] An inconsequential person (typically lower class). [2] A Gypsy. [3] In Scotland, a member of the native community previously itinerant (but mainly now settled) who were reputed for their production of domestic implements from basic materials and for repair of the same items, being also known in the past as 'travelling tinsmiths'. The slur is possibly derived from a reputation for rowdy and alcoholic recreation. Often wrongly confused with Gypsy/Romany people.",False,,75.0,tinker,,False,True,False,False,False,False,False,0
Tommies,GmXWmbhfi,"German slang for a British person, particular a soldier.",False,,,Tommy,,True,False,False,False,False,False,False,0
tigers,AsYLiQYqv,A Tamil.,False,,,tiger,,False,True,False,False,False,False,False,0
timber niggers,MrfsxZVBM,A Native American.,True,,,timber nigger,,False,True,False,False,False,False,False,1
tinckers,rWCNKZbKQ,"[1] An inconsequential person (typically lower class). [2] A Gypsy. [3] In Scotland, a member of the native community previously itinerant (but mainly now settled) who were reputed for their production of domestic implements from basic materials and for repair of the same items, being also known in the past as 'travelling tinsmiths'. The slur is possibly derived from a reputation for rowdy and alcoholic recreation. Often wrongly confused with Gypsy/Romany people.",False,,100.0,tincker,,False,True,False,False,False,False,False,0
tinkards,FpHunEZVH,"[1] An inconsequential person (typically lower class). [2] A Gypsy. [3] In Scotland, a member of the native community previously itinerant (but mainly now settled) who were reputed for their production of domestic implements from basic materials and for repair of the same items, being also known in the past as 'travelling tinsmiths'. The slur is possibly derived from a reputation for rowdy and alcoholic recreation. Often wrongly confused with Gypsy/Romany people.",False,,,tinkard,,False,True,False,False,False,False,False,0
teapots,PeQUEPzXm,A black person. [19th century],False,,,teapot,,False,True,False,False,False,False,False,0
tenkers,ezQwuddeo,"[1] An inconsequential person (typically lower class). [2] A Gypsy. [3] In Scotland, a member of the native community previously itinerant (but mainly now settled) who were reputed for their production of domestic implements from basic materials and for repair of the same items, being also known in the past as 'travelling tinsmiths'. The slur is possibly derived from a reputation for rowdy and alcoholic recreation. Often wrongly confused with Gypsy/Romany people.",False,,,tenker,,False,True,False,False,False,False,False,0
tard,zmapznzWe,Abbreviation of the term 'retard',False,,70.0,,retard,False,False,False,False,False,True,False,19
tarded,KhhcHgfdo,Abbreviation of the term 'retarded',False,,99.0,,retarded,False,False,False,False,False,True,False,382
tards,aXVDRGiHE,Abbreviation of the term 'retard',False,,50.0,tard,,False,False,False,False,False,True,False,225
teabaggers,JgXswYMLe,"Pejorative reference to a conservative, right-wing and/or Republican person, particularly a member or advocate of the Tea Party movement. Originally used by the movement itself, until pejorative meaning developed.",False,,,teabagger,,False,False,False,False,False,False,False,0
suntans,gzzTQszrG,A black person.,False,,,suntan,,False,True,False,False,False,False,False,0
taco niggers,bPnWdfTou,An Hispanic person,True,,,taco nigger,,False,True,False,False,False,False,False,2
Taffys,LPsfBHZyM,"A Welsh person. First used ca. 17th century. From the River Taff or the Welsh pronunciation of the name David (in Welsh, Dafydd). Children's rhyme: 'Taffy was a Welshman, Taffy was a thief'. Generally considered offensive when used by an English person.",False,,,Taffy,,True,True,False,False,False,False,False,0
tans,xJ3xzxRqa,"A British person, derived from the Black and Tans, the nickname for an auxiliary British Army unit deployed to Ireland in the 1920s and which gained a reputation for brutality.",False,,75.0,tan,,True,False,False,False,False,False,False,0
tar babies,FWDGGUctK,A black child.,True,,,tar baby,,False,True,False,False,False,False,False,197
squinties,bXMvRDrrN,"A person of East Asian descent in reference to the appearance of the eyes, similar to 'slant'.",False,,,squinty,,False,True,False,False,False,False,False,1
steeks,Q4nAYyFTK,"In Northern Ireland, a spide is a young working class male. A female is known as a millie.",False,,,steek,,False,False,False,False,False,False,True,13
stovepipes,C4snjNot4,A black person.,False,,,stovepipe,,False,True,False,False,False,False,False,0
stump jumpers,y6fxUas7r,"Used by poor rural people to denote those of lower status than themselves, particularly those who commit incest (jumping the family tree).",True,,,stump jumper,,False,False,False,False,False,False,True,45
spivs,BKYLUqQEF,"In the UK, a criminal dealing in counterfeit and/or stolen goods",False,,13.0,spiv,,False,False,False,False,False,False,True,348
spooks,TbcMZtVGr,"A black person, originating from the 1940s.",False,,,spook,,False,True,False,False,False,False,False,0
squareheads,s4PUNJETQ,"[1] A person of German, Dutch, or Scandinavian, esp. Swedish, origin. [2] A Caucasian person, especially a German. Refers to either the stereotyped shape of their heads, or to the shape of the Stalhelm M1916 steel helmet, or to its owner's stubbornness (like a block of wood).",False,,,squarehead,,True,True,False,False,False,False,False,0
squaws,yAKKcXBiz,"A female Native American. Derived from lower East Coast Algonquian (Massachuset: ussqua), which originally meant 'young woman', but which took on strong negative connotations in the late 20th century.",False,,100.0,squaw,,False,True,False,False,False,False,False,159
spiggotties,pwhe4Loqx,"A person of Hispanic descent. First recorded use in 1915. Theories include from 'no spik English' (and spiggoty from the Chicano no speak-o t'e English), but common belief is that it is an abbreviation of 'Hispanic'.",True,,,spigotty,,False,True,False,False,False,False,False,0
spigs,bfse8pCbj,"A person of Hispanic descent. First recorded use in 1915. Theories include from 'no spik English' (and spiggoty from the Chicano no speak-o t'e English), but common belief is that it is an abbreviation of 'Hispanic'.",False,,,spig,,False,True,False,False,False,False,False,5
spikes,zrHzAaHXZ,A very High Church Anglican or Anglo-Catholic.,False,,,spike,,False,False,True,False,False,False,False,0
spiks,BpveHQHyC,"A person of Hispanic descent. First recorded use in 1915. Theories include from 'no spik English' (and spiggoty from the Chicano no speak-o t'e English), but common belief is that it is an abbreviation of 'Hispanic'.",False,,,spik,,False,True,False,False,False,False,False,34
spicspeak,WdLkoEubk,The Spanish language,True,,100.0,,spic,False,True,False,False,False,False,False,0
spides,YsmctcQnz,"In Northern Ireland, a spide is a young working class male. A female is known as a millie.",False,,,spide,,False,False,False,False,False,False,True,43
spiggers,Lbwq9fsvR,A person of mixed Hispanic and black parentage.,True,,,spigger,,False,True,False,False,False,False,False,6
spickish,gZsoZPhxL,Adjective for the nature of 'spic',True,,91.0,,spick,False,True,False,False,False,False,False,0
spiclet,XxyNieXqR,The diminuitive of 'spic',True,,75.0,,spic,False,True,False,False,False,False,False,1
spics,YPQLZ7eiu,"A person of Hispanic descent. First recorded use in 1915. Theories include from 'no spik English' (and spiggoty from the Chicano no speak-o t'e English), but common belief is that it is an abbreviation of 'Hispanic'.",False,,75.0,spic,,False,True,False,False,False,False,False,345
spicish,cRECvkMPL,Alternative spelling for adjective for the nature of 'spic',True,,99.0,,spic,False,True,False,False,False,False,False,6
spickaboos,LW8MoCHom,A person of mixed Hispanic and black parentage.,True,,,spickaboo,,False,True,False,False,False,False,False,0
spades,UUnHLwZXu,"A black person, originating with the suit in a deck of cards.",False,,,spade,,False,True,False,False,False,False,False,0
spear chuckers,yYbvmedYn,"A term used for an African American, or other person of African descent.",True,,,spear chucker,,False,True,False,False,False,False,False,132
spergs,PjXhdwjvU,Pejorative term for one who suffers from Asperger syndrome.,False,,1.0,sperg,,False,False,False,False,False,True,False,252
spice niggers,FfWFkqEoi,A black person.,True,,100.0,spice nigger,,False,True,False,False,False,False,False,1
snowflakes,WnRFHPfhD,"[1] Civil war term for an educated (white collar) black person. [2] A person of Jewish descent, from the ashes in the vicinity of concentration camps.",False,,,snowflake,,False,True,False,False,False,False,False,0
soles,qytuUnvAv,A person of Samoan descent.,False,,,sole,,True,True,False,False,False,False,False,0
sooties,mKqgQBJPp,"A black person, originated in the US in the 1950s.",False,,,sooty,,False,True,False,False,False,False,False,3
soup takers,nXkmKhxeA,"A person who has sold out their beliefs, referring to the Irish Potato famine when some Catholics converted to a Protestant faith in order to gain access to a free meal.",False,,,soup taker ,,True,False,True,False,False,False,False,52
Southern fairies,p4CDpRwCA,"Used in the north of England, the term originates from the inability of southern Englishmen being unable to consume amounts of alcohol over 2 units at any one period. ",False,,,Southern fairy,,False,False,False,False,False,False,False,69
smoke jumpers,ZbyMopdok,A Caucasian woman who dates a black man.,True,,,smoke jumper,,False,True,False,False,False,False,False,215
smoked Irishmen,zDPNKZQXJ,A 19th century term for a black person (intended to insult both black people and Irish).,True,,,smoked Irishman,,True,True,False,False,False,False,False,0
snouts,fUZ2mECpt,Offensive term used in Northern Ireland to describe Protestants of British descent living in Northern Ireland.,False,,,snout,,True,False,True,False,False,False,False,0
slopes,UFd7Whsvy,"A person of Asian descent, particularly Vietnamese or Chinese.",False,,75.0,slope,,False,True,False,False,False,False,False,0
slopies,HGrYfyWiz,"A person of Asian descent, particularly Vietnamese or Chinese.",False,,,slopey,,False,True,False,False,False,False,False,0
smicks,JtvvhAuGH,"In Ireland, a disreputable, working class or delinquent person",False,,,smick,,True,True,False,False,False,False,True,70
slants,sXPCcNWnk,"A person of Asian origin (Chinese, Japanese, Korean, Vietnamese etc.) Derived from the term for those who have epicanthic folds.",False,,,slant,,False,True,False,False,False,False,False,0
slaves,qh8TV7fLU,"An unpaid servant, generally recognized as property rather than as a human being. May specifically refer to a person of African origin.",False,,100.0,slave,,False,True,False,False,False,False,False,0
slits,kMCWNFJXM,A person of Asian descent.,False,,,slit,,False,True,False,False,False,False,False,0
slopeheads,CjTxxNae8,"A person of Asian descent, particularly Vietnamese or Chinese.",False,,,slopehead,,False,True,False,False,False,False,False,5
Skippies,svXVUZbhw,"A white Australian, alluding to Skippy the Bush Kangaroo, a once-popular Australian television show for children.",False,,,Skippy,,True,True,False,False,False,False,False,0
Skips,VHazTCKTQ,"A white Australian, alluding to Skippy the Bush Kangaroo, a once-popular Australian television show for children.",False,,,Skip,,True,True,False,False,False,False,False,0
slant eyes,pVGfoJcrT,"A person of Asian origin (Chinese, Japanese, Korean, Vietnamese etc.) Derived from the term for those who have epicanthic folds.",True,,,slant eye,,False,True,False,False,False,False,False,79
sideways vaginas,ntnTtkfis,"An Asian woman, particularly of Chinese descent.",True,,100.0,sideways vagina,,True,True,False,False,False,False,False,35
skags,MVVwJDTNN,A woman of loose morals,False,,50.0,skag,,False,False,False,True,False,False,True,0
skangers,qPAuoMqW4,"In Northern Ireland, a spide is a young working class male. A female is known as a millie.",False,,,skanger,,False,False,False,False,False,False,True,26
skinnie,mg8xjZd4y,Alternative spelling for 'skinny',False,,88.0,,skinny,True,True,False,False,False,False,False,0
skinnies,n2FdGX4He,"A Somali, especially a militia fighter.",False,,,skinny,,True,False,False,False,False,False,False,0
shit kickers,KLMyqqVaT,"A rural person, from farmers or country boys walking through manure-filled cow pastures.",False,,,shit kicker,,False,False,False,False,False,False,True,0
sideways cooters,AxthmQzrx,"An Asian woman, particularly of Chinese descent.",True,,,sideways cooter,,True,True,False,False,False,False,False,1
sideways pussies,VoKTKJMXA,"An Asian woman, particularly of Chinese descent.",True,,88.0,sideways pussy,,True,True,False,False,False,False,False,16
shiners,noHjsEvzu,"A black person, originating from their working at shoe shine stands on urban streets or in bus and train station terminals.",False,,,shiner,,False,True,False,False,False,False,False,0
shines,jdtyLTigb,"A black person, originating from their working at shoe shine stands on urban streets or in bus and train station terminals.",False,,,shine,,False,True,False,False,False,False,False,0
shit heels,BVaPpNmwe,A black servant.,False,,,shit heel,,False,True,False,False,False,False,False,0
Sheltas,YfydopHNe,An Irish Traveller.,False,,,Shelta,,True,True,False,False,False,False,False,1
shemales,WHmXNkkyw,[1] A transexual person. [2] A transgendered person. [3] An allegedly masculine woman.,True,,,shemale,,False,False,False,True,True,False,False,82
sheboons,dKqHcPUkR,Combination of 'she' and 'baboon' to indicate a black woman,True,,,sheboon,,False,True,False,False,False,False,False,165
sheenies,wZexgibhh,A 19th-century derogatory term for an 'untrustworthy Jew.',True,,,sheeny,,False,True,False,False,False,False,False,106
sheepfuckers,zyFCwtvHx,"A person of Scottish or Welsh descent, from an alleged predilection for having sex with sheep due to the scarcity of people in these regions.",False,,,sheepfucker,,True,False,False,False,False,False,False,21
sengas,mzyurebuz,"In Scotland, an unsophisticated or lower class female",False,,,senga,,False,False,False,False,False,False,True,20
seppos,WV3ZBjYLD,An American. (Cockney rhyming slang: Septic tank - Yank),False,,,seppo,,True,False,False,False,False,False,False,138
septics,RMPXDCEWT,An American. (Cockney rhyming slang: Septic tank - Yank),False,,,septic,,True,False,False,False,False,False,False,0
shades,bUaCugJCC,"A black person, or one attempting to be perceived as black.",False,,,shade,,False,True,False,False,False,False,False,0
